user_id,account_age_days,ticket_price,purchase_time_sec,mouse_velocity_mean,mouse_velocity_std,click_frequency,keystroke_flight_time_ms,navigation_entropy,session_duration_sec,pages_visited,scroll_depth_pct,resale_price,resale_flag,scalper,purchase_date
user_3155,1333,48.42,40.36,337.5616,226.1217,0.7864,170.123,2.9329,49.3127,9,58.76,48.42,0,0,2025-06-28
user_1919,1409,270.69,34.75,367.7554,100.5829,0.4553,274.7845,2.3968,195.0483,5,75.5277,270.69,0,0,2025-04-27
user_992,505,43.52,41.76,326.4393,106.0029,0.5624,224.0109,3.5029,189.3174,5,38.2069,43.52,0,0,2025-01-11
user_2286,470,29.53,44.19,320.4428,151.1955,0.8216,187.9239,2.7168,169.0932,3,98.9619,29.53,0,0,2025-04-02
user_2420,1448,194.57,68.75,279.7103,92.0035,0.9814,152.3055,2.487,249.4087,7,46.1477,194.57,0,0,2025-06-24
user_4736,749,104.23,7.66,487.0863,99.3681,2.7368,81.4109,0.8157,84.5436,7,14.4024,196.81,1,1,2025-03-15
user_1587,573,17.51,36.21,313.8466,206.0935,0.8451,281.0479,1.8114,385.818,10,48.9953,17.51,0,0,2025-05-26
user_4102,332,284.14,36.45,388.4052,191.0936,0.9585,85.4529,2.3794,161.7063,10,44.4932,284.14,0,0,2025-01-28
user_1265,719,242.49,50.61,401.9328,214.6883,0.4888,283.6389,3.5615,103.8488,6,89.7875,214.22,1,0,2025-06-17
user_837,356,62.49,3,521.3275,182.6741,0.6383,122.5623,1.3979,165.4858,6,82.1968,62.49,0,0,2025-03-26
user_4432,1476,68.62,14.56,179.2975,164.405,0.6728,167.2668,2.4937,175.9978,4,85.1094,68.62,0,0,2025-06-26
user_3393,1275,185.97,33.25,300.5762,171.2585,0.4568,70.0818,1.5599,97.9041,6,81.3694,185.97,0,0,2025-04-26
user_1364,1476,10.11,31.9,540.6627,112.5055,0.6436,161.3542,1.2076,293.1509,3,54.062,10.11,0,0,2025-02-13
user_1530,1206,133.21,12.48,193.5088,85.6432,0.3883,200.2971,1.8574,188.2071,8,49.0496,121.46,1,0,2025-05-02
user_1338,780,332.67,11.28,421.0772,93.654,0.726,253.4821,2.8744,319.655,8,60.9396,332.67,0,0,2025-05-18
user_3176,1131,291.37,50.24,265.9644,168.3735,0.2626,134.17,2.023,108.9619,4,90.6916,291.37,0,0,2025-04-05
user_876,1216,277.61,32.33,348.06,58.4053,0.4443,107.1043,2.5776,153.9194,7,69.5785,277.61,0,0,2025-02-07
user_2225,1122,48.28,55.67,308.8258,165.4493,0.5965,147.9337,3.2899,196.8839,9,62.0665,48.28,0,0,2025-06-10
user_2088,32,68.96,37.45,444.0205,172.6829,0.5985,219.501,2.1496,90.7245,7,63.8195,68.96,0,0,2025-01-07
user_4638,659,383.16,15.27,643.5621,95.7895,2.1546,141.8562,0.8442,54.0717,6,44.8619,834.01,1,1,2025-03-19
user_1128,403,38.7,35.94,28.4221,131.969,1.0152,259.28,2.2823,87.3362,8,56.846,38.7,0,0,2025-05-18
user_3112,1020,10.58,42.43,339.5309,117.9484,0.8804,217.6362,0.8911,344.9079,8,57.8525,10.58,0,0,2025-03-12
user_4789,352,55.14,13.92,535.6681,154.1107,2.1767,131.5584,1.1758,58.25,5,49.7712,133.57,1,1,2025-02-15
user_1625,145,26.25,22.7,385.966,98.1752,1.0918,74.8842,2.2531,54.648,6,51.68,26.25,0,0,2025-05-27
user_229,1199,460.09,35.3,270.8132,80.94,1.0817,254.6121,3.8545,393.1043,12,65.1278,460.09,0,0,2025-05-09
user_3971,652,109.16,56.16,471.6312,100.2352,1.3164,272.4805,2.4556,154.2628,10,46.3948,109.16,0,0,2025-02-23
user_1160,347,117.52,30.41,195.9465,103.1616,1.2995,77.332,2.4722,20.6543,7,38.8997,117.52,0,0,2025-02-14
user_1765,1084,23.98,21.77,362.234,213.079,1.0588,221.6612,2.7346,127.834,7,47.5689,23.98,0,0,2025-06-26
user_4810,199,246.27,25.55,784.1396,129.6998,0.7919,107.9168,1.252,90.2819,7,22.8599,319.64,1,1,2025-03-19
user_1980,178,84.41,39.84,401.9866,102.0951,0.9576,120.1994,4.0741,278.5985,6,66.6914,84.41,0,0,2025-03-24
user_29,672,168.69,28.2,483.5942,117.9356,0.6422,142.4296,2.2298,69.2964,5,54.3127,168.69,0,0,2025-06-09
user_1797,195,89.74,30.99,333.7433,198.4703,1.5935,183.6075,3.9303,174.7656,6,78.5348,89.74,0,0,2025-06-08
user_2400,48,304.33,27.3,301.4852,105.4721,0.7793,149.2622,2.7715,222.9646,6,54.5676,304.33,0,0,2025-06-20
user_3223,408,108.56,57.99,539.2782,101.8952,0.575,221.8187,3.2998,100.8218,9,65.6721,108.56,0,0,2025-06-14
user_221,740,333.58,52.49,415.1331,134.2179,0.6924,100.0475,2.9689,113.6911,5,73.4448,333.58,0,0,2025-03-02
user_3898,1397,25.15,56.63,228.8457,113.2925,0.3712,161.242,2.8259,174.7029,8,65.4469,25.15,0,0,2025-06-14
user_132,1473,61.72,83.41,326.2023,169.0554,1.2922,145.4524,2.235,242.398,7,21.8047,61.72,0,0,2025-03-15
user_2424,112,71.54,45.23,289.2424,188.1512,1.2306,195.2149,2.6888,196.3681,4,66.9969,71.54,0,0,2025-03-12
user_3347,1329,138.89,50.54,239.862,187.2361,0.8041,169.6321,3.4864,152.038,6,59.5003,147.95,1,0,2025-04-01
user_2237,1313,43.99,40.49,367.4357,118.5585,0.6913,234.6282,3.5536,214.2302,7,52.1573,31.7,1,0,2025-05-07
user_1031,511,57.48,46.33,416.7117,179.2532,0.6472,211.2798,2.6318,208.115,8,95.3356,57.48,0,0,2025-04-21
user_4362,774,230.31,50.28,199.3462,98.9056,0.9031,164.0294,2.6965,239.0276,6,37.2184,230.31,0,0,2025-05-28
user_1247,600,220.5,57.85,352.0156,180.5736,0.5171,166.565,2.3175,25.3238,3,89.3144,220.5,0,0,2025-02-04
user_3057,292,50.09,46.8,226.215,140.2337,0.8041,258.2771,1.7338,85.8786,8,52.5232,50.09,0,0,2025-04-18
user_456,204,47.77,81.69,239.4759,18.28,0.7801,53.7252,2.6523,233.6442,5,83.2718,47.77,0,0,2025-06-23
user_4421,389,192.64,21.9,270.8565,89.2307,0.9817,198.5124,3.1256,121.7869,10,45.1954,192.64,0,0,2025-03-17
user_2660,1013,150.09,93.91,408.4685,161.8872,0.049,245.4783,2.262,78.2045,6,77.2172,164.05,1,0,2025-02-07
user_4061,1404,111.83,11.05,473.5369,149.9071,0.6277,88.5597,4.1246,35.1763,6,33.8103,120.25,1,0,2025-01-04
user_3556,893,131.43,27.74,308.719,105.5197,0.8549,91.6669,2.8301,110.413,12,49.6688,131.43,0,0,2025-02-11
user_1714,56,167.74,41.57,297.6568,222.8627,0.9002,258.0846,4.4226,75.347,7,89.9192,167.74,0,0,2025-04-24
user_4915,74,428.91,2.39,2470.5244,19.0302,3.648,15.2351,0.1211,18.4607,1,10.2707,702.65,1,1,2025-03-07
user_3466,1015,452.59,4.51,359.6443,226.3048,1.0053,240.5979,1.7515,138.5764,6,44.3986,452.59,0,0,2025-04-21
user_970,1252,74.41,29.86,415.0484,112.6312,0.3217,102.3119,2.9961,75.9494,9,98.6674,74.41,0,0,2025-05-24
user_1795,258,171.19,38.79,186.4809,88.517,0.6998,108.0102,2.6058,124.4685,4,46.9976,171.19,0,0,2025-05-11
user_989,1465,323.22,58.37,396.2045,176.728,1.2044,163.8456,3.5699,204.5896,8,38.8154,323.22,0,0,2025-04-24
user_1179,1046,132.63,58.37,227.3999,168.8438,0.8658,100.9516,1.6738,274.8927,8,51.1887,132.63,0,0,2025-04-14
user_2653,1188,112.05,61.93,316.2574,163.9609,0.8715,72.873,2.5839,301.634,9,70.9464,116.07,1,0,2025-04-05
user_2605,56,30.58,36.57,210.1386,163.1663,1.3507,273.938,3.1701,290.6363,6,84.3304,30.58,0,0,2025-06-23
user_2155,548,205.48,51.3,345.4699,163.9085,0.7371,216.682,2.2836,205.5767,6,60.9906,205.48,0,0,2025-03-10
user_1803,1017,31.92,54.77,306.4944,166.8678,0.7694,161.4474,3.0326,208.2075,3,79.8952,31.92,0,0,2025-04-20
user_4621,213,208.86,7.06,703.1603,50.6155,1.5961,143.4501,1.6634,81.0508,3,47.7318,208.86,0,1,2025-01-03
user_3087,638,73.0,83.08,358.4074,197.7738,0.5395,158.7763,2.7248,202.0511,6,86.7985,73.0,0,0,2025-04-11
user_1069,1442,212.96,58.21,247.021,211.4006,1.0335,272.6513,2.0772,90.611,8,64.0893,212.96,0,0,2025-03-25
user_4623,753,295.43,19.8,689.448,128.2966,0.6031,110.3757,1.1108,35.9355,7,31.6329,628.71,1,1,2025-06-03
user_924,1112,37.25,27.61,232.0038,140.0902,0.8465,184.0224,2.5558,180.1946,8,62.1651,41.19,1,0,2025-06-04
user_3473,946,37.62,50.87,256.3056,276.1617,0.8771,187.2206,1.6683,260.4042,7,47.79,38.0,1,0,2025-02-06
user_1589,428,257.02,3,182.0647,151.9144,0.5292,154.5688,3.3284,159.9082,6,74.7291,257.02,0,0,2025-03-02
user_1628,460,116.29,65.13,291.6609,176.0628,0.981,185.6198,3.5583,192.3349,4,67.4696,116.29,0,0,2025-05-21
user_4485,1389,53.62,70.55,385.174,109.8961,0.5184,197.3129,3.5001,90.6187,8,56.6368,53.62,0,0,2025-05-10
user_4907,25,155.39,1.72,1367.1227,14.22,4.3401,28.0712,0.2561,11.902,1,7.271,464.62,1,1,2025-03-28
user_3782,1490,68.12,51.59,175.2036,230.1742,0.6278,191.1724,2.0439,68.4199,7,71.0671,68.12,0,0,2025-01-22
user_3341,436,140.02,34.25,432.8025,204.6597,0.1954,196.2204,2.5602,220.8975,6,69.8593,140.02,0,0,2025-03-09
user_4548,163,220.14,49.38,602.7585,63.3612,0.8266,121.7155,3.2728,81.0209,7,77.8187,220.14,0,0,2025-06-02
user_1303,978,291.8,20.54,390.0738,153.3183,0.5777,322.7454,2.3805,127.735,10,69.2005,291.8,0,0,2025-03-23
user_495,765,274.81,19.41,224.9964,158.8659,1.148,140.2178,1.7584,145.3889,8,74.816,274.81,0,0,2025-02-03
user_4679,226,127.67,12.38,283.4508,85.4311,1.9704,154.5829,2.6102,103.6363,3,42.3541,127.67,0,1,2025-04-02
user_1746,473,294.65,14.79,261.0317,197.2838,1.1389,103.696,1.5835,224.3362,8,84.1028,294.65,0,0,2025-05-06
user_4276,338,72.72,34.54,417.6632,78.4734,0.9462,226.7694,2.7226,171.2889,7,70.3144,72.72,0,0,2025-02-11
user_4440,1366,45.41,36.83,228.7772,132.7287,0.7178,163.9238,3.582,190.2265,7,56.1407,45.41,0,0,2025-04-21
user_1513,1371,87.77,53.56,326.4294,134.9199,0.7614,180.1651,3.9896,90.9501,9,85.661,87.77,0,0,2025-06-29
user_962,1047,11.36,62.4,453.9673,210.5431,1.0856,166.4977,2.5921,10.5093,6,35.649,11.36,0,0,2025-02-03
user_303,1341,75.8,25.17,534.5781,57.3767,0.5654,177.9836,2.7256,77.7543,8,45.0683,75.8,0,0,2025-02-14
user_3134,326,61.56,33.97,450.0847,192.3655,0.6605,198.2588,1.1973,158.0048,5,54.9131,61.56,0,0,2025-05-05
user_4652,122,212.74,14.04,700.49,36.4035,1.4485,93.8826,0.5309,38.1439,2,43.6329,260.93,1,1,2025-05-05
user_3626,1041,135.74,42.06,375.9829,24.5361,0.6304,105.6953,2.5196,139.4619,5,52.4694,135.74,0,1,2025-04-23
user_4283,102,13.69,69.99,312.0128,56.7149,0.6445,145.7148,0.9944,199.4768,7,100.1781,13.69,0,0,2025-03-09
user_3111,398,147.78,25.32,509.4381,174.1862,0.9152,130.1646,2.8836,239.3236,12,66.8315,147.78,0,0,2025-05-06
user_4225,493,82.36,25.23,398.3222,156.7412,0.9343,115.09,2.6259,114.7176,4,98.9626,82.36,0,0,2025-06-05
user_3568,1416,276.52,32.33,161.3403,155.7032,0.459,259.9284,2.5061,166.4574,7,44.0239,276.52,0,0,2025-05-22
user_720,985,228.48,81.59,320.2668,221.464,1.0195,248.3036,3.0336,206.9541,6,65.9566,228.48,0,0,2025-02-07
user_99,298,86.57,3,428.6568,225.8485,0.3485,94.2895,2.4685,142.3182,6,57.0924,86.57,0,0,2025-06-08
user_240,251,100.22,43.39,358.0365,194.187,0.6647,237.6939,3.7394,132.078,5,48.8918,108.82,1,0,2025-06-25
user_1237,580,10.26,61.08,198.0668,57.8295,0.7693,207.4217,3.6424,276.8135,14,67.4225,10.26,0,0,2025-04-19
user_2702,1063,250.17,28.35,255.1857,119.0512,0.723,248.0523,2.2468,275.9433,5,37.5632,253.84,1,0,2025-02-15
user_3271,1320,41.59,37.64,76.8326,217.6105,1.017,154.8519,3.7775,193.906,4,63.7559,41.59,0,0,2025-06-11
user_1251,1464,248.05,21.77,475.4942,101.8915,0.6517,270.1878,2.3537,128.8175,7,76.775,248.05,0,0,2025-03-07
user_1407,236,257.58,70.76,447.1402,152.471,1.0014,150.0423,2.2616,122.7669,4,46.5061,257.58,0,0,2025-05-17
user_56,244,199.47,92.49,314.3879,110.1589,1.3841,137.816,1.7573,151.9295,6,38.5018,199.47,0,0,2025-06-21
user_4270,153,27.23,41.94,471.4384,142.502,0.6497,102.9834,3.055,133.4097,8,58.692,27.23,0,0,2025-03-18
user_3477,812,387.27,3,207.3937,147.7182,1.3738,242.4933,3.2987,245.5427,4,80.4589,387.27,0,0,2025-01-02
user_161,500,69.07,54.44,445.6244,118.2385,0.9346,170.2744,3.8478,85.4309,7,99.4641,69.07,0,0,2025-01-11
user_1737,240,120.47,81.08,268.2982,79.7625,0.8932,261.2356,2.2279,199.5973,7,22.4853,120.47,0,0,2025-06-18
user_1783,415,24.43,77.38,384.2038,136.8212,0.8297,239.3942,5.0706,227.8529,5,39.383,24.43,0,0,2025-03-26
user_542,126,48.9,42.12,306.568,158.2874,0.851,203.8511,2.2754,167.4618,8,87.5854,39.73,1,0,2025-02-27
user_4951,59,91.43,2.8,2008.2543,23.5914,6.4854,27.2031,0.2425,5.8234,2,7.331,203.09,1,1,2025-06-23
user_2455,1434,196.52,61.28,249.8567,168.4854,1.2168,121.5639,3.7257,132.7355,6,46.6177,196.52,0,0,2025-04-13
user_2042,117,146.72,62.21,583.6606,189.9215,0.7145,104.5291,2.7797,250.9079,7,69.2173,146.72,0,0,2025-05-20
user_782,876,63.0,59.13,371.7517,146.2627,1.468,197.8997,3.3691,244.8806,6,71.0363,63.0,0,0,2025-03-26
user_666,163,30.49,61.33,438.2271,122.0021,0.9873,337.6193,2.481,241.3134,7,103.2244,30.49,0,0,2025-01-28
user_4406,991,126.57,42.69,351.5062,178.7347,1.4354,201.5185,3.4159,308.2838,4,46.0764,126.57,0,0,2025-03-28
user_3391,64,249.77,18.76,75.4353,96.2293,1.5916,241.2133,1.4518,197.8634,7,52.0616,249.77,0,0,2025-06-21
user_3021,611,446.67,33.28,291.2459,113.1552,0.2974,164.4759,1.6025,51.2494,7,67.7101,446.67,0,0,2025-06-10
user_4835,685,80.26,15.3,573.298,123.2685,1.7226,77.2731,0.8189,78.4679,4,12.3745,80.26,0,1,2025-05-16
user_181,1432,128.26,78.82,293.4605,147.9628,0.3233,134.0922,2.5544,214.1098,5,54.4591,128.26,0,0,2025-04-15
user_2179,931,290.08,58.24,390.2486,195.1968,1.1537,213.3091,2.0784,346.2061,9,44.8362,290.08,0,1,2025-05-19
user_4775,301,108.13,15.58,397.8483,63.8894,0.4347,129.8055,0.7299,66.2487,2,28.5664,182.65,1,1,2025-05-20
user_148,853,115.48,28.9,330.8888,64.3721,1.4594,325.3145,2.9117,382.9075,7,33.0227,115.48,0,0,2025-01-12
user_3487,463,88.09,52.86,493.8301,121.0646,0.8769,315.4285,2.7789,17.6961,8,48.012,88.09,0,0,2025-05-29
user_972,568,144.92,39.87,620.966,130.7655,1.0846,222.7202,3.8822,130.776,10,76.9914,144.92,0,0,2025-02-06
user_3648,1289,14.13,79.92,595.8223,126.4319,0.7528,169.0793,3.9336,218.3701,7,76.1784,14.13,0,0,2025-06-01
user_4492,1148,18.96,32.24,315.3199,192.1609,0.5817,121.4991,3.6002,236.1462,6,79.1821,18.96,0,0,2025-03-15
user_4611,156,29.34,9.09,563.068,81.6665,1.5781,109.6139,1.1509,32.7903,4,14.0634,60.92,1,1,2025-06-13
user_4936,60,270.26,1.9,2507.4785,30.7925,4.5776,25.6746,0.2331,11.0458,2,6.4737,801.97,1,1,2025-02-13
user_4499,405,38.56,61.54,441.0226,126.5388,0.673,242.633,2.5709,130.6099,6,55.7461,38.56,0,0,2025-05-06
user_2351,452,52.63,68.26,367.4708,135.7324,0.5941,261.3603,2.7153,160.7167,12,81.6998,52.63,0,0,2025-03-23
user_903,1035,132.33,22.27,427.9155,176.3325,0.7092,128.8839,2.0238,112.0866,5,75.9536,132.33,0,0,2025-06-03
user_3034,60,231.19,19.12,389.5979,117.2726,1.0105,144.0941,3.0199,248.7577,6,67.6193,231.19,0,0,2025-02-26
user_2472,1171,60.5,52.16,308.8472,107.7224,1.3306,128.8183,1.3372,177.8404,5,50.1818,60.5,0,0,2025-06-21
user_3613,418,276.52,49.9,528.9737,203.1474,0.5352,248.0737,2.0146,197.253,4,59.59,263.45,1,0,2025-04-30
user_3288,447,153.76,92.85,342.062,141.409,0.9811,159.422,2.5636,172.2042,8,32.9893,153.76,0,0,2025-06-12
user_2135,146,62.8,76.86,307.274,116.8507,0.7468,140.5498,3.6453,441.6406,9,61.0102,62.8,0,0,2025-03-18
user_4467,1141,238.25,60.13,465.0235,111.5999,0.8486,286.947,2.5793,10.1616,4,56.9341,238.25,0,0,2025-01-04
user_4627,638,258.34,14.48,502.39,69.7718,2.2074,116.1874,1.2431,76.4589,4,54.1104,423.7,1,1,2025-04-29
user_2182,937,30.45,30.73,490.1066,108.9113,1.1591,193.9057,2.5975,101.9863,8,62.5274,30.45,0,0,2025-04-06
user_3072,425,91.73,66.84,341.8634,212.9827,0.6934,199.4197,2.4335,128.7138,7,70.3496,71.01,1,0,2025-01-06
user_1346,607,287.23,36.19,318.7802,128.7108,0.8992,202.8143,3.0299,295.5845,11,68.0929,287.23,0,0,2025-05-17
user_3993,76,216.1,55.64,266.65,147.8339,1.1188,115.5098,1.967,164.3185,6,71.8137,216.1,0,0,2025-02-04
user_4375,317,299.72,23.05,351.2265,109.2212,0.6447,134.5377,2.6248,209.7279,5,52.1744,299.72,0,0,2025-05-02
user_208,661,138.94,70.3,555.7951,210.8559,0.635,250.3225,2.1297,134.4534,9,84.2577,138.94,0,0,2025-04-26
user_941,1031,33.75,69.49,177.7608,165.9647,0.9747,52.5533,3.3474,31.6175,3,91.5575,33.75,0,0,2025-02-19
user_1724,1192,103.73,22.83,547.7918,104.0327,1.1387,246.2361,3.4973,61.0916,8,86.9005,103.73,0,0,2025-02-03
user_4983,59,391.42,2.66,3231.8749,18.1549,5.6795,30.5838,0.5295,10.5676,1,15.6734,952.13,1,1,2025-01-18
user_3804,906,100.97,48.59,366.5685,113.961,0.6537,202.9047,2.8974,186.5586,9,53.1667,100.97,0,0,2025-01-08
user_1596,533,36.96,91.4,371.8019,100.6677,0.4422,100.625,3.4497,125.9369,6,81.8484,36.96,0,0,2025-03-14
user_933,138,34.05,84.73,438.5613,137.9886,0.7449,32.3507,2.251,211.2383,7,45.6513,34.05,0,0,2025-01-03
